_TYPE_,_FREQ_,bias,MSE,lowercover,uppercover,power,ncov,nbeta,epv,n,RMSE,RMSE_SQRTN
0,10000,-20.0664995,439.16630517,0.9532,1,0.0014,2,1,3,60,20.95629512,162.326764
0,10000,-14.63581554,357.98410291,0.9675,1,0.0081,2,2,3,60,18.92046783,146.55731362
0,10000,-10.43400502,269.78882632,0.9677,1,0.0323,2,3,3,60,16.425249658,127.22943676
0,10000,-5.969526628,169.41279437,0.9677,0.9996,0.1127,2,4,3,60,13.015867023,100.82047244
0,10000,4.1305193715,132.31985676,0.8229,0.9813,0.8341,2,5,3,60,11.50303685,89.102140299
0,10000,-17.7632009,389.30377165,0.9551,1,0.0003,2,1,10,200,19.730782337,279.03539978
0,10000,-6.370650675,153.9881749,0.9658,1,0.0026,2,2,10,200,12.40919719,175.49254964
0,10000,-2.226789145,53.899825445,0.9708,0.9999,0.0293,2,3,10,200,7.3416500492,103.8266107
0,10000,-0.516407283,11.94484669,0.9738,0.9969,0.2624,2,4,10,200,3.4561317524,48.877083977
0,10000,0.1292660783,2.3754807357,0.9858,0.9754,0.997,2,5,10,200,1.5412594641,21.796700373
